City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
648,Mananjary,MG,78.33,clear sky,-21.2167,48.3333,Vahiny Lodge
649,Lydenburg,ZA,60.76,light rain,-25.0978,30.4597,The Palms Boutique Hotel
650,Bosaso,SO,74.03,clear sky,11.2842,49.1816,Red Sea Hotel
651,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
653,Isla Aguada,MX,80.6,scattered clouds,18.7833,-91.4667,Freedom Shores
654,Hinganghat,IN,71.6,mist,20.5667,78.8333,Abhay Tattoos
655,Waingapu,ID,78.08,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
657,Atar,MR,74.1,clear sky,20.5169,-13.0499,Oumou Elghoura
658,Comodoro Rivadavia,AR,69.8,scattered clouds,-45.8667,-67.5,Austral Hotel
659,Tomatlan,MX,88.61,few clouds,19.9333,-105.25,Norma franco
660,Muscat,OM,64.4,clear sky,23.6139,58.5922,Mutrah Hotel
665,Oriximina,BR,86.38,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
668,Kupang,ID,80.06,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
669,Piacabucu,BR,80.87,broken clouds,-10.4056,-36.4344,Piaçabuçu News
672,Moussoro,TD,73.89,scattered clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
673,Ngunguru,NZ,64.99,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
675,Dakar,SN,73.4,clear sky,14.6937,-17.4441,Novotel Dakar
